unknown,không biết,a,tôi không biết
ask_what, Tâm lý học Lâm sàng  do  Phó giáo sư Tiến sĩ Đặng Hoàng Minh làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Giáo dục
ask_what, Nghiên cứu về năng suất chất lượng trong các doanh nghiệp Việt Nam  do  Tiến sĩ Phan Chí Anh làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Kinh tế
ask_what, Viện Công nghệ Hàng không Vũ trụ School of Aerospace Engineering – SAE vừa là đơn vị phối thuộc của Tập đoàn Viễn thông Quân đội Viettel vừa trực thuộc đơn vị đào tào nào của  Đại học quốc gia Hà Nội, b, Trường Đại học Công nghệ
ask_what, Năm 2017   Đại học quốc gia Hà Nội tổ chức tuyển sinh đại học theo hình thức nào, b, Thi kỳ thi trung học phổ thông Quốc Gia.
ask_what, Trọng tâm của hoạt động đào tạo tại  Đại học quốc gia Hà Nội là, b, Người học
ask_what, Đâu là chuyên ngành  Đại học quốc gia Hà Nội không đào tạo, b, Cơ khí điện không là chuyên nghành đào tạo của ĐHQGHN
ask_what, Tháng 8/2013   Đại học quốc gia Hà Nội đã ký kết với Ngân hàng nào để thoả thuận hợp tác và hỗ trợ phát triển học bổng cho sinh viên  học viên và nhà ở cho cán bộ giảng viên trẻ của  Đại học quốc gia Hà Nội, b, ngân hàng BIDV
ask_what, Uông Bí đất và người  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  Đại học quốc gia Hà Nội hợp tác cùng với Tỉnh Quảng Ninh, b, Viện Việt Nam học và Khoa học phát triển
ask_what, Vương triều Lê sơ  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  Đại học quốc gia Hà Nội hợp tác cùng với Thành phố Hà Nội, b, Viện Việt Nam học và Khoa học phát triển
ask_what, Cùng với Đài Tiếng nói Việt Nam và Cổng Thông tin điện tử Chính phủ  cơ quan nào là cơ quan thứ 3 thuộc lĩnh vực báo chí – truyền thông của Việt Nam mà  Đại học quốc gia Hà Nội chính thức thiết lập quan hệ hợp tác, b, Thông tấn xã Việt Nam
ask_what, Nghiên cứu phát triển phần mềm Nhúng trên nền tảng di động  là một trong những nhiệm vụ khoa học công nghệ do đơn vị đào tạo nào của  Đại học quốc gia Hà Nội hợp tác cùng với Toshiba, b, Trường Đại học Công nghệ
ask_what, Giáo dục giới tính cho học sinh trung học cơ sở Hà Nội phù hợp với đặc điểm tuổi dậy thì hiện nay/  Phó giáo sư Tiến sĩ Mai Văn Hưng  là một trong những nhiệm vụ khoa học công nghệ do đơn vị đào tạo nào của  Đại học quốc gia Hà Nội hợp tác cùng với TP Hà Nội, b, Trường Đại học Giáo dục
ask_what, Nghiên cứu xây dựng mô hình Chứng thực văn bản pháp lý để thúc đẩy triển khai dịch vụ công trên địa bàn TP Hà Nội  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  Đại học quốc gia Hà Nội hợp tác cùng với TP Hà Nội, b, Viện Công nghệ Thông tin
ask_what, Nghiên cứu các di sản tự nhiên và văn hóa nhằm xây dựng công viên địa chất Geopark tại vùng Ba Vì – Sơn Tây  Hà Nội  phục vụ phát triển du lịch bền vững  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  Đại học quốc gia Hà Nội hợp tác cùng với TP Hà Nội, b, Trường Đại học Khoa học Tự nhiên
ask_what, Từ điển Địa danh hành chính Thăng Long – Hà Nội truyền thống  là một trong những nhiệm vụ khoa học công nghệ do đơn vị nào của  Đại học quốc gia Hà Nội hợp tác cùng với Nhà xuất bản Hà Nội, b, Viện Việt Nam học và Khoa học phát triển
ask_what, Phát triển và tối ưu hóa các giải pháp loại bỏ ô nhiễm Asen trong nước ngầm cho các hộ nông dân vùng châu thổ sông Hồng  Việt Nam  là một trong các chương trình hợp tác quốc tế của  Đại học quốc gia Hà Nội và CHLB Đức Cơ quan chủ trì là đơn vị nào của  Đại học quốc gia Hà Nội, b, Trường Đại học Khoa học Tự nhiên
ask_what, Nghiên cứu các cấu trúc nano có tính chất từ – quang nhờ cộng hưởng plasmon bề mặt  là một trong các chương trình hợp tác quốc tế của  Đại học quốc gia Hà Nội Cơ quan chủ trì thực hiện là đơn vị nào của  Đại học quốc gia Hà Nội, b, Trường Đại học Khoa học Tự nhiên
ask_what, Nghiên cứu phát triển công nghệ bãi lọc trồng cây ứng dụng vào xử lý nước thải từ chế biến thủy sản xuất khẩu  là một trong các chương trình hợp tác quốc tế của  Đại học quốc gia Hà Nội với quốc gia nào, b, Tây Ban Nha
ask_what,  Đại học quốc gia Hà Nội có đối tác là một trong những trường đại học hàng đầu tại Ấn Độ Trường đại học đó là, b, Đại học Delhi
ask_what, Đại học nào  cùng với Đại học Quốc gia Hà Nội  Đại học Tokyo – Nhật Bản và Đại học Quốc gia Seoul – Hàn Quốc nằm trong mạng lưới BESETOHA – Diễn đàn của Giám đốc 4 Đại học chủ chốt Đông Á , b, Đại học Bắc Kinh
ask_what,  Đại học quốc gia Hà Nội là một trong các thành viên của Hiệp hội các trường đại học Đông Nam Á – ASAIHL là một tổ chức , b, ASAIHL là tôt chức Phi chính phủ
ask_what, Nghiên cứu chế tạo và thử nghiệm ứng dụng linh kiện phát quang hữu cơ – OLED  là một trong các chương trình hợp tác quốc tế của  Đại học quốc gia Hà Nội Đó là sự hợp tác KHCN Việt Nam – Hàn Quốc Cơ quan chủ trì thực hiện là đơn vị nào của  Đại học quốc gia Hà Nội, b, Trường Đại học Công nghệ
ask_what, Trường đại học nào sau đây trực thuộc  Đại học quốc gia Hà Nội là thành viên hiệp hội giáo viên Châu Á – Thái Bình Dương, b, Trường Đại học Giáo dục
ask_what, Đầu năm học   Đại học quốc gia Hà Nội áp dụng thi khảo sát năng lực tiếng anh đối với sinh viên năm nhất với mục đích, b, Phân loại sinh viên
ask_what, Tiến sĩ Đỗ Quốc Tuấn – người được nhận Giải thưởng Tạ Quang Bửu dành cho nhà khoa học trẻ dưới 35 tuổi vào 18/05/2018 là giảng viên trường nào trong  Đại học quốc gia Hà Nội, b, Trường Đại học Khoa học Tự nhiên
ask_what, Quản trị tinh gọn  Made in Vietnam   do  Tiến sĩ Nguyễn Đăng Minh làm trưởng nhóm  là một trong những nhóm nghiên cứu tiềm năng thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Kinh tế
ask_what, Nghiên cứu Khu vực học  do  giáo sư  Tiến sĩ Nguyễn Quang Ngọc làm trưởng nhóm  là một trong những nhóm nghiên cứu mạnh thuộc đơn vị nào của  Đại học quốc gia Hà Nội năm 2017, b, Viện Việt Nam học và Khoa học phát triển
ask_what, Ứng dụng dược chất thiên nhiên và tổng hợp định hướng hóa dược  do  Tiến sĩ Mạc Đình Hùng làm trưởng nhóm là một trong những nhóm nghiên cứu tiềm năng thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội năm 2017, b, Trường Đại học Khoa học Tự nhiên
ask_what, 205 đến 225 tín chỉ là số tin chỉ ứng với chương trình đào tạo dành cho đối tượng nào sau đây thuộc  Đại học quốc gia Hà Nội, b, chương trình đào tạo Bác sĩ
ask_what, Chương trình đào tạo có 2 phần kiên thức đó là, b, Kiến thức cốt lõi và kiến thức bổ trợ
ask_what, Sinh viên đang học tập tại các đơn vị đào tạo của Đại học Quốc gia Hà Nội được đăng ký học bằng kép nếu có đủ các điều kiện sau, b, Đang học từ học kỳ thứ ba đến học kỳ thứ bảy chương trình đào tạo thứ nhất của chương trình đào tạo bằng kép
ask_what, Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp là, b, Cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo
ask_what, Viện Việt Nam học và Khoa học phát triển  Đại học quốc gia Hà Nội đã làm đầu mối tổ chức thực hiện thành công lập hồ sơ khoa học đề nghị UNESCO công nhận di sản nào là di sản văn hóa thế giới, b, Di tích Hoàng thành Thăng Long
ask_what, Khẩu hiệu hành động của  Đại học quốc gia Hà Nội là, b, Đạt đỉnh cao dựa vào tri thức
ask_what, Giá trị cốt lõi và khẩu hiệu hành động của Trường Đại học Khoa học Xã hội và Nhân văn   Đại học quốc gia Hà Nội là, b, Tiên phong – Sáng tạo – Chất lượng cao và trình độ cao
ask_what, Điều kiện để sinh viên  Đại học quốc gia Hà Nội có thể tham gia làm khóa luận tốt nghiệp là gì, b, điểm trung bình tích lũy trên 2.8
ask_what, Chương trình đào tạo tài năng của  Đại học quốc gia Hà Nội đào tạo các sinh viên xuất sắc thuộc các ngành Toán học  Cơ học  Vật lý  Khí tượng – Thuỷ văn – Hải dương học  Địa lý  Địa chất  Hoá học  Sinh học  Khoa học môi trường tại trường nào, b, Trường Đại học Khoa học Tự nhiên
ask_what, Khẩu hiệu hành động của  Đại học quốc gia Hà Nội là, b, Đạt đỉnh cao dựa vào tri thức
ask_what, Ngành Đông phương học là một trong những ngành học thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội, b, Trường Đại học Khoa học xã hội và nhân văn
ask_what, Khi mới thành lập  Khoa Các khoa học liên ngành –  Đại học quốc gia Hà Nội có 02 chương trình đào tạo là, b, Thạc sĩ Biến đổi khí hậu  Thạc sĩ Khoa học bền vững
ask_what, 02 Trung tâm Đào tạo trực thuộc  Đại học quốc gia Hà Nội là gì , b, Trung tâm Giáo dục Thể chất và Thể Thao  Trung tâm Giáo dục Quốc phòng – An ninh
ask_what, Những năm học đầu tiên  Trường Đại học Tổng hợp Hà Nội chia các lĩnh vực đào tạo chuyên môn thành 02 ban là, b, Khoa học  Văn khoa
ask_what, Trung tâm Giáo dục Quốc phòng –  Đại học quốc gia Hà Nội được thành lập dựa trên cơ sở sắp xếp lại các khoa Giáo dục Quốc phòng của các trường đại học nào, b, Đại học Khoa học Xã hội và Nhân văn  Đại học Ngoại ngữ
ask_what, Trường Đại học Tổng hợp Hà Nội trực tiếp kế thừa truyền thống và cơ sở vật chất  kĩ thuật của các trường tiền thân nào, b, Trường Đại học Đông Dương  Trường Đại học Quốc gia Việt Nam  Trường Khoa học Cơ bản
ask_what, Thủ tướng Chính phủ đã ký Quyết định số 1186/QĐ–TTg ngày 21/7/2014 về việc thành lập Trường Đại học Việt Nhật – trường đại học thành viên thứ 7 thuộc  Đại học quốc gia Hà Nội Trường được xây dựng theo mô hình đại học xuất sắc vì kết hợp được những yếu tố nào sau đây, b, Dựa trên nền tảng khoa học công nghệ cao  Liên thông  liên kết chặt chẽ với các cơ sở giáo dục đại học và doanh nghiệp của Việt Nam và Nhật Bản
ask_what, Học bổng cho của sinh viên thuộc  Đại học quốc gia Hà Nội do cơ quan nào cấp , b, Nhà nước  Doanh nghiệp  Các tổ chức nước ngoài
ask_what, Chương trình đào tạo cử nhân  thạc sĩ có liên kết với đối tác nước ngoài của trường Đại học Kinh tế   Đại học quốc gia Hà Nội thuộc ngành nào sau đây, b, Tài chính Ngân hàng và Thương mại Quốc tế  Quản lý công  Quản trị kinh doanh
ask_what, Trường Đại học Tổng hợp Hà Nội trực tiếp kế thừa truyền thống và cơ sở vật chất  kĩ thuật của các trường tiền thân nào, b, Trường Đại học Đông Dương  Trường Đại học Quốc gia Việt Nam  Trường Khoa học Cơ bản
ask_what, Trường THPT nào sau đây trực thuộc Đại học Quốc Gia Hà Nội, b, THPT Chuyên Ngoại Ngữ  THPT Chuyên Khoa học Tự nhiên
ask_what, Đơn vị tiên phong trong triển khai hoạt động đào tạo tại Hòa Lạc là, b, Trường Đại học Khoa học Tự nhiên
ask_what,  Đại học quốc gia Hà Nội có các mục tiêu cụ thể là, b, Đào tạo nguồn nhân lực chất lượng cao  trình độ cao  bồi dưỡng nhân tài phục vụ yêu cầu phát triển kinh tế – xã hội và hội nhập quốc tế của đất nước 
ask_what, Đi đầu luôn được coi là tiêu chí nhận dạng của các hoạt động và đội ngũ cán bộ của  Đại học quốc gia Hà Nội trong hệ thống các trường đại học ở Việt Nam Nó được thể hiện trong việc, b, Tiên phong trong đào tạo chất lượng cao  NCKH đỉnh cao  dịch vụ cộng đồng  Tiên phong trong việc áp dụng các phương pháp mới trong quản trị đại học  quản lý đào tạo  đánh giá chất lượng  tiên phong nghiên cứu những lĩnh vực mới  triển khai thực hiện đào tạo những ngành hoàn toàn mới ở Việt Nam  Tiên phong của ĐHQGHN đưa giáo dục Việt Nam gần hơn với khu vực và trên thế giới
ask_what, Nhiệm vụ trọng tâm của  Đại học quốc gia Hà Nội là, b, Đào tạo  Hội nhập quốc tế  Khoa học và Công nghệ
ask_what,  Đại học quốc gia Hà Nội là thành viên ban điều hành  tham gia cơ cấu lãnh đạo của nhiều tổ chức  hiệp hội  mạng lưới giáo dục đại học như, b, Đại học ASEAN (AUN)  Hiệp hội các đại học Đông Nam Á và Đài Loan (SATU)  Tổ chức Đại học Pháp ngữ (AUF)
ask_what, Đại học Quốc gia Hà Nội có các loại chương trình đào tạo sau, b, Chương trình đào tạo đơn ngành  Chương trình đào tạo liên kết quốc tế  Chương trình đào tạo đa ngành
ask_what, Kinh phí cho hoạt động đào tạo của  Đại học quốc gia Hà Nội có nguồn là, b, Kinh phí từ ngân sách Nhà nước  Các nguồn kinh phí khác  Học phí
ask_what, Chương trình đào tạo chất lượng cao tại  Đại học quốc gia Hà Nội dành cho những sinh viên khá giỏi hệ chính quy của một số ngành nào sau đây, b, Khoa học cơ bản  Công nghệ cao  Kinh tế – xã hội
ask_what, Chương trình đào tạo chất lượng cao tại  Đại học quốc gia Hà Nội dành cho những sinh viên khá giỏi hệ chính quy của một số ngành nào sau đây, b, Khoa học cơ bản  Công nghệ cao  Kinh tế – xã hội
ask_what, Bộ trưởng Bộ Khoa học và Công nghệ Chu Ngọc Anh và Giám đốc  Đại học quốc gia Hà Nội Nguyễn Kim Sơn kí kết văn bản thỏa thuận phối hợp hoạt động song phương giữa hai đơn vị 16/5/2017 nhằm phối hợp triển khai, b, Các Chương trình phát triển khoa học cơ bản  Các hoạt động kết nối cung cầu  hỗ trợ ứng dụng và đổi mới công nghệ  góp phần phát triển sản phẩm quốc gia và sản phẩm công nghệ cao.
ask_what, Cụm công trình lịch sử và văn hóa Việt Nam của Giáo sư Đào Duy Anh – tác phẩm được tặng Giải thưởng Hồ Chí Minh gồm, b, Lịch sử Việt Nam từ nguồn gốc đến thế kỷ XIX  Lịch sử cổ đại Việt Nam  Việt Nam văn hóa sử cương  Đất nước Việt Nam qua các đời
ask_what, Đâu là nội dung của cụm công trình  Tìm về cội nguồn  của Giáo sư Phan Huy Lê – công trình được Nhà nước trao tặng giải thưởng Hồ Chí Minh năm 2000, b, Các nguồn sử liệu và phương pháp  kết quả tiếp cận.   Một số vấn đề lớn của lịch sử Việt Nam như quá trình hình thành dân tộc  sự phát triển của các hình thái kinh tế - xã hội.   Những vấn đề kinh tế – xã hội như lao động làm thuê  chế độ ruộng đất  làng xã cổ truyền  nghề khai khoáng  thành thị  phong trào nông dân.   Thiết kế chính trị như tổ chức Nhà nước  vương triều Hồ và cải cách của Hồ Quý Ly  di sản về thiết chế chính trị.
ask_what, Nghiên cứu Hệ sinh thái rừng ngập mặn  – Giải thưởng Quốc tế Cosmos lần thứ 16 Cosmos Prize  2008 do  giáo sư Tiến sĩ Phan Nguyên Hồng  Trung tâm Nghiên cứu Tài nguyên và Môi trường –  Đại học quốc gia Hà Nội tiến hành từ năm 1987 có ý nghĩa như thế nào, b, Có ý nghĩa to lớn trong bảo vệ môi trường toàn cầu  Góp phần nâng cao đời sống  ý thức và hành vi bảo vệ môi trường của cộng đồng  Giúp đỡ các địa phương phục hồi  bảo vệ  sử dụng hợp lý tài nguyên  nâng cao chất lượng cuộc sống cho người dân nghèo ven biển
ask_what, Sau mỗi học kỳ sinh viên  Đại học quốc gia Hà Nội bị buộc thôi học đối với các trường hợp là, b, Có điểm trung bình chung học kỳ đạt dưới 0 80 đối với học kỳ đầu của khóa học  đạt dưới 1 10 đối với 2 học kỳ liên tiếp  Đạt dưới 1 00 đối với các học kỳ tiếp theo
ask_what, Để nâng cao chất lượng đào tạo đại học tại  Đại học quốc gia Hà Nội cần phải có, b, Giảng viên giỏi  Chương trình đào tạo phù hợp  Cơ sở vật chất tốt
ask_what, Sinh viên tốt nghiệp ngành Quản trị du lịch - khách sạn tại trường Đại học Khoa học Xã hội và Nhân văn –  Đại học quốc gia Hà Nội có thể đảm nhiệm các vị trí nào sau đây, b, Quản trị điều hành du lịch quốc tế  Nghiên cứu thị trường  xây dựng các sản phẩm du lịch – sự kiện thể thao tổ chức các hoạt động marketing và kinh doanh sản phẩm du lịch  Quản lý doanh nghiệp lữ hành
ask_what, Nhóm tác giả của  Phó giáo sư Tiến sĩ Phạm Bảo Sơn thuộc đơn vị đào tạo nào của  Đại học quốc gia Hà Nội đã giành giải Nhì tại Giải thưởng Nhân tài Đất Việt 2017 với sản phẩm DoIT – Hệ thống hỗ trợ nâng cao chất lượng văn bản một công cụ phụ trợ để phát hiện các lỗi chính tả có thể gặp phải  ngày 16/11/2017, b, Nhóm tác giả của PGS.TS Phạm Bảo Sơn thuộc Đại học Công nghệ
ask_what, Giám đốc  Đại học quốc gia Hà Nội phụ trách trách những lĩnh vực công tác nào sau đây, b, Chiến lược và kế hoạch phát triển ĐHQGHN  Tổ chức cán bộ  Hợp tác và Phát triển  Truyền thông.
ask_what, Tính đến thời điểm hiện tại  Trường trực thuộc  Đại học quốc gia Hà Nội có số lượng Giáo sư nhiều nhất, b, Trường Đại học Khoa học Tự nhiên
ask_what, Bộ trưởng Bộ giáo Dục và Đào tạo  giáo sư Tiến sĩ Phùng Xuân Nhạ hiện nay đã từng giữ chức vụ gì trong  Đại học quốc gia Hà Nội, b, Giám đốc ĐHQGHN
ask_what, Hiệu trưởng đầu tiên của Trường Đại học Việt Nhật -  Đại học quốc gia Hà Nội là người nước nào, b, Hiệu trưởng trường đại học Việt Nhật - ĐHQGHN là người nước nhật
ask_what, Đơn vị đào tạo nào của  Đại học quốc gia Hà Nội là trường Đại học duy nhất của cả nước trong 5 năm liền đều có nhà khoa học là giảng viên và cựu sinh viên  học viên sau đại học giành Giải thưởng Tạ Quang Bửu, b, Trường Đại học Khoa học Tự nhiên
ask_what, Giải thưởng Tạ Quang Bửu năm 2016 được trao cho nhà khoa học nào của  Đại học quốc gia Hà Nội, b, PGS.TS Nguyễn Ngọc Minh nhận giải thưởng Tạ Quang Bửu năm 2016
ask_what, Giải thưởng Tạ Quang Bửu năm 2014 được trao cho nhà khoa học nào của  Đại học quốc gia Hà Nội, b, GS.TSKH Nguyễn Hữu Việt Hưng nhận giải thưởng Tạ Quang Bửu năm 2014
ask_what, Ở tuổi 33  giảng viên Bùi Thị Hồng Thái   Đại học quốc gia Hà Nội trở thành nữ phó giáo sư trẻ nhất Việt Nam năm 2016 Cô đang công tác tại đơn vị nào, b, Trường Đại học Khoa học Xã hội và Nhân văn
ask_what, Giảng viên Nguyễn Ngọc Lưu Ly   Đại học quốc gia Hà Nội trở thành nữ phó giáo sư trẻ nhất Việt Nam năm 2013 Cô đang công tác tại đơn vị nào, b, Trường Đại học Ngoại ngữ
ask_what, Nhóm tác giả của đơn vị đào tạo nào trong  Đại học quốc gia Hà Nội giành giải Nhì tại Giải thưởng Nhân tài Đất Việt 2017, b, Trường Đại học Công nghệ đã đạt giả Nhì tại giải thưởng nhân tài Đát Việt năm 2017.
ask_what, Giám đốc  Đại học quốc gia Hà Nội hiện nay nguyên là Bí thư Đoàn Trường nào, b, Trường Đại học Khoa học Xã hội và Nhân văn
ask_what,  giáo sư Đào Duy Anh   giáo sư Hoàng Xuân Hãn   giáo sư Nguyễn Tài Cẩn là bộ ba nhà khoa học chuyên nghiên cứu về, b, Việt Ngữ học
ask_what,  giáo sư Tiến sĩKH Vũ Minh Giang - chuyên gia lĩnh vực gì  Chủ tịch Hội đồng Khoa học và Đào tạo  Đại học quốc gia Hà Nội, b, Sử học
ask_what,  giáo sư Phan Tống Sơn giảng dạy ngành nào tại Trường Đại học Khoa học Tự nhiên, b, GS. Phan Tống Sơn giảng dạy ngành Hóa học
ask_what, Năm 2003   giáo sư Võ Quý vinh dự là nhà khoa học Việt Nam đầu tiên và là người châu Á thứ hai được nhận Giải thưởng Hành tinh xanh  giáo sư Võ Quý công tác tại đơn vị nào, b, GS Võ Quý công tác tại Trường Đại học Khoa học Tự nhiên
ask_what,  giáo sưNGƯT Trần Quốc Vượng  cây đại thụ của nền sử học Việt Nam công tác tại đơn vị nào, b, GS.NGƯT Trần Quốc Vượng công tác tại Trường Đại học Khoa học Xã hội và Nhân văn
ask_what,  Tiến sĩ Hồ Đức Việt nguyên là giảng viên của đơn vị nào, b, TS. Hồ Đức Việt  nguyên là giảng viên Trường Đại học Tổng hợp Hà Nội
ask_what,  giáo sư viện sĩ Nguyễn Văn Hiệu như một tượng đài khoa học  thuộc thế hệ các nhà khoa học đầu đàn của nền khoa học Việt Nam Ông nguyên Hiệu trưởng đầu tiên đơn vị nào, b, GS.VS Nguyễn Văn Hiệu nguyên Trường Đại học Công nghệ
ask_what,  Phó giáo sư Tiến sĩ Bùi Hiền  nguyên là giảng viên của đơn vị đào tạo nào, b, PGS.TS Bùi Hiền là nguyên giảng viên Trường Đại học Ngoại ngữ
ask_what, Hai giảng viên của  Đại học quốc gia Hà Nội tham gia tổ trọng tài quốc tế tại ASIAD 2018 là cán bộ của đơn vị nào, b, Trung tâm Giáo dục Thể chất và Thể thao
ask_what, Giảng viên Nguyễn Thị Nga  Trung tâm Giáo dục Thể chất và Thể thao đã đạt Huy chương vàng Sea game 19 năm 1997  môn thể thao nào, b, Giảng viên Nguyễn Thị Nga là vận động viên Thể dục dụng cụ
ask_what, Hoa hậu Việt Nam năm 1998 Bùi Bích Phương là sinh viên Trường nào, b, Hoa hậu Bùi Bích Phương là sinh viên Đại học Tổng hợp Hà Nội
ask_what, Nghệ sĩ violon Hoàng Rob là cựu sinh viên của cơ sở đào tạo nào trong Đại học Quốc gia Hà Nội, b, Nghệ sĩ violon Hoàng Rob là cựu sinh viên Khoa Quốc tế
ask_what, MC Thảo Vân là cựu sinh viên của cơ sở đào tạo nào trong Đại học Quốc gia Hà Nội, b, MC Thảo Vân là cựu sinh viên Trường Đại học Ngoại ngữ
ask_what, MC Trần Ngọc là cựu sinh viên của cơ sở đào tạo nào trong Đại học Quốc gia Hà Nội, b, MC Trần Ngọc là cựu sinh viên Trường Đại học Khoa học Tự nhiên
ask_what, MC Nguyễn Hữu Việt Khuê là cựu sinh viên của cơ sở đào tạo nào trong Đại học Quốc gia Hà Nội, b, MC Nguyễn Hữu Việt Khuê là cựu sinh viên Trường Đại học Khoa học Tự nhiên
ask_what,  Phó giáo sư Tiến sĩ Nguyễn Kim Sơn Giám đốc  Đại học quốc gia Hà Nội hiện nay là cựu sinh viên chuyên ngành gì của trường Đại học Tổng hợp Hà Nội, b, PGS.TS Nguyễn Kim Sơn từng học chuyên ngành Hán Nôm
ask_what, Giáo sư Ngô Bảo Châu là cựu học sinh trường nào, b, Giáo sư Ngô Bảo Châu cựu sinh viên trường Đại học Khoa học Tự nhiên
ask_what, Liệt sỹ Lê Anh Xuân từng học Khoa nào tại Trường Đại học Tổng hợp, b, Khoa Sử
ask_what,  Tiến sĩ Đàm Quang Minh được mệnh danh là Hiệu trưởng trẻ nhất Việt Nam hiện nay là cựu sinh viên của trường /khoa nào , b, Trường Đại học Khoa học Tự nhiên
ask_what, Ông Nguyễn Phú Trọng - Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam hiện nay là cựu sinh viên chuyên ngành gì của Đại học Tổng hợp Hà Nội, b, Ông Nguyễn Phú Trọng là cựu sinh viên ngành Văn học trường Đại học Tổng hợp Hà Nội
ask_what,  Phó giáo sư Tiến sĩ Nguyễn Quang Điển là cựu sinh viên Khoa gì của Đại học Tổng hợp Hà Nội, b, PGS.TS Nguyễn Quang Điển là cựu sinh viên Khoa Triết học  Đại học Tổng hợp Hà Nội
ask_what, Giáo sư Phùng Xuân Nhạ - nguyên là Giám đốc Đại học Quốc gia Hà Nội đã từng theo học chuyên ngành gì của Đại học Tổng hợp Hà Nội, b, Giáo sư Phùng Xuân Nhạ theo Chuyên ngành Kinh tế thế giới và quan hệ kinh tế quốc tế
