intent,q,noisyq,a
ask_who, ai là đại biểu quốc hội việt nam khóa 3 1964-1971 và 4 1971-1975 trong những người sau đây, b, ngụy như kon tum là đại biểu quốc hội khóa 3 và khóa 4
ask_who, nhóm tác giả trường đại học công nghệ   đại học quốc gia hà nội đã đạt giải nhì giải thưởng nhân tài đất việt năm 2017 với sản phẩm mang tên gì, b, doit – hệ thống hỗ trợ nâng cao chất lượng văn bản
ask_who, chánh văn phòng  đại học quốc gia hà nội hiện nay là ai, b, trần quốc bình hiện đang là chánh văn phòng đại học quốc gia hà nội
ask_who, trưởng ban tổ chức cán bộ  đại học quốc gia hà nội hiện nay là ai, b, nguyễn hiệu đang là trưởng ban tổ chức cán bộ đại học quốc gia hà nội
ask_who, trưởng ban đào tạo  đại học quốc gia hà nội hiện nay là ai, b, nguyễn đình đức đang là trưởng ban đào tạo đại học quốc gia hà nội
ask_who, trưởng ban chính trị và công tác học sinh  sinh viên của  đại học quốc gia hà nội hiện nay là ai, b, đinh văn hường hiện đang là trưởng ban chính trị và công tác học sinh  sinh viên đại học quốc gia hà nội
ask_who, ai là tác giả của cụm công trình lịch sử và văn hóa việt nam gồm 4 cuốn lịch sử việt nam từ nguồn gốc đến cuối thế kỉ xix  lịch sử cổ đại việt nam  việt nam văn hóa sử đại cương  đất nước việt nam qua các đời, b, giáo sư. đào duy anh
ask_who, ai là hiệu trưởng đầu tiên của trường đại học văn khoa 1954-1956, b, đặng thai mai là hiệu trưởng đầu tiên đại học văn khoa
ask_who, ai là người vinh dự nhận giải thưởng dành cho các nhà khoa học nữ có nhiều cống hiến  giải thưởng kovale giáo sưkaia lần đầu tiên được trao tại việt nam năm 1988, b, giáo sư.tiến sĩkh.ngưt phạm thị trân châu đã từng nhận giải thưởng kovalevskaia
ask_who, ai là nữ giáo sư đầu tiên của ngành ngôn ngữ học việt nam, b, hoàng thị châu là nữ giáo sư đầu tiên ngành ngôn ngữ học việt nam
ask_who, ông nguyên là bộ trưởng bộ giáo dục  tên ông nay đã trở thành tên một con phố dài 700m của quận tây hồ  hà nội ông là ai, b, giáo sư. đặng thai mai
ask_who, tác giả của bộ giáo trình giải tích 3 tập là ai, b, giáo sư.tiến sĩkh.ngưt nguyễn thừa hợp là tác giả của bộ giải tích
ask_who, vị giám đốc đầu tiên của trường đại học văn khoa hà nội là ai, b, giáo sư. đặng thai mai là giám đốc đầu tiên trường đại học văn khoa hà nội
ask_who, tác giả hai bộ từ điển hán - việt từ điển 1932 và pháp – việt từ điển 1936 là ai, b, giáo sư. đào duy anh
ask_who, cách đây 40 năm  vị hiệu trưởng trường đại học tổng hợp hà nội - tiền thân cơ bản của đại học quốc gia hôm nay là ai, b, giáo sư. ngụy như kontum là hiệu trưởng đầu tiên trường đại học tổng hợp hà nội
ask_who, ai là một trong những người là nhà khảo cổ học đầu tiên tại nước việt nam dân chủ cộng hòa, b, giáo sư. ngưt trần quốc vượng là một trong những nhà khảo cổ đầu tiên tại việt nam
ask_who, mc lê anh là giảng viên của trường nào, b, mc lê anh là giảng viên trường đại học khoa học xã hội và nhân văn
ask_who, ngày 27/12/2017  lễ trao giải giải thưởng khoa học công nghệ thanh niên quả cầu vàng đã diễn ra tại tại bộ khoa học và công nghệ trường đại học công nghệ vinh dự có 02 cá nhân trong đó có 1 giảng viên  là ai, b, tiến sĩ. hà minh hoàng vó vinh dự nhận giải thưởng khoa học công nghệ quả cầu vàng
ask_who,  đại học quốc gia hà nội có một giảng viên đạt huy chương vàng đông nam á năm 2017  hiện là thành viên đội tuyển bóng bàn việt đây là ai, b, phan hoàng tường giang
ask_who, đồng chí nào nguyên là bí thư thứ nhất bch trung ương đoàn  nguyên là bí thư đoàn đại học quốc gia hà nội, b, nguyễn đắc vinh là nguyên bí thư đoàn đại học quốc gia hà nội
ask_who, chủ tịch danh dự câu lạc bộ cựu sinh viên  đại học quốc gia hà nội, b, ông phùng xuân nhạ - bộ trưởng bộ giáo dục và đào tạo  nguyên giám đốc đại học quốc gia hà nội
ask_who, sinh viên được chuyển đi học tại cơ sở đào tạo đại học khác ngoài đại học quốc gia hà nội khi được sự đồng ý của ai, b, thủ trưởng đơn vị đào tạo
ask_who, giải thưởng sao tháng giêng của hội sinh viên việt nam là giải thưởng dành cho đối tượng nào, b, cán bộ hội sinh viên xuất sắc
ask_who, đối tượng nào sau đây được miễn học toàn bộ học phần giáo dục quốc phòng - an ninh, b, sinh viên là người nước ngoài  đã có chứng chỉ giáo dục quốc phòng - an ninh  sinh viên có bằng tốt nghiệp học viện  trường sĩ quan quân đội  công an.
ask_who, đối tượng được miễn học các nội dung thực hành kỹ năng quân sự trong học phần giáo dục quốc phòng – an ninh, b, sinh viên là tu sỹ thuộc các tôn giáo 
ask_who, đối tượng được miễn học các nội dung thực hành kỹ năng quân sự trong học phần giáo dục quốc phòng – an ninh, b, sinh viên có thương tật  khuyết tật bẩm sinh  bị bệnh mãn tính làm hạn chế chức năng vận động có giấy chứng nhận của bệnh viện cáp huyện trở lên hoặc tương đương 
ask_who, đối tượng được miễn học các nội dung thực hành kỹ năng quân sự trong học phần giáo dục quốc phòng – an ninh, b, sinh viên đã hoàn thành nghĩa vụ quân sự  có giấy xuất ngũ do đơn vị quân đội có thẩm quyền cấp
ask_who, đối tượng nào sau đây được miễn học toàn bộ học phần giáo dục thể chất, b, sinh viên đã hoàn thành học phần giáo dục thể chất phù hợp với trình độ đào tạo
ask_who, đối tượng nào sau đây được ưu tiên vào kí túc xá theo chính sách của  đại học quốc gia hà nội, b, con thương binh  liệt sỹ  người dân tộc thiểu số  hộ gia đình chính sách
ask_who, sinh viên được xét tuyển bổ sung sinh viên vào chương trình đào tạo tài năng  chuẩn quốc tế  chất lượng cao là, b, cả a và c đều đúng  là sinh viên năm thứ 2
ask_who, bí thư đoàn đại học quốc gia hà nội hiện nay là đồng chí, b, đồng chí trương ngọc kiểm
ask_who, tuổi trẻ đại học quốc gia hà nội có một gương mặt được trung ương đoàn vinh danh giải thưởng gương mặt trẻ việt nam tiêu biểu năm 2017  đó là, b, đinh quang hiếu
ask_who, phó chủ tịch hội sinh viên đại học quốc gia hà nội khóa iv  là sinh viên là ai, b, đặng huyền thư
ask_who, chủ tịch hội sinh viên  đại học quốc gia hà nội là ai, b, đồng chí hứa thanh hoa được bầu làm tân chủ tịch hội sinh viên đại học quốc gia hà nội
ask_who, tiến sĩ nguyễn kim sơn là ai,a, nguyễn kim sơn (sinh ngày 18 tháng 11 năm 1966) là một nhà khoa học về lĩnh vực khoa học xã hội và nhân văn. ông hiện là giám đốc đại học quốc gia hà nội. 
