intent,q,noisyq,a
presentation_demand, fuso có thể cho tôi biết về các giải thưởng quốc tế của đại học quốc gia được không,a,10
presentation_demand, fuso có thể cho tôi biết về khu vực vị thế trên trường quốc tế của đại học quốc gia được không,a,11
presentation_demand, tôi muốn biết về vị thế trên trường quốc tế của đại học quốc gia được không,a,11
presentation_demand, tôi có thể nghe về khu vực vị thế trên trường quốc tế của đại học quốc gia,a,11
command_lead_way, tôi muốn nghe về khu vực số một,a,1
command_lead_way, tôi muốn nghe về khu vực số hai,a,2
command_lead_way, tôi muốn nghe về khu vực số ba,a,3
command_lead_way, tôi muốn nghe về khu vực số bốn,a,4
command_lead_way, tôi muốn nghe về khu vực số năm,a,5
command_lead_way, tôi muốn nghe về khu vực số sáu,a,6
command_lead_way, tôi muốn nghe về khu vực số bảy,a,7
command_lead_way, tôi muốn nghe về khu vực số tám,a,8
command_lead_way, tôi muốn nghe về khu vực số chín,a,9
command_lead_way, tôi muốn nghe về khu vực số mười,a,10
command_lead_way, tôi muốn nghe về khu vực số mười một,a,11
command_lead_way, tôi muốn nghe về khu vực số 1,a,1
command_lead_way, tôi muốn nghe về khu vực số 2,a,2
command_lead_way, tôi muốn nghe về khu vực số 3,a,3
command_lead_way, tôi muốn nghe về khu vực só 4,a,4
command_lead_way, tôi muốn nghe về khu vực số 5,a,5
command_lead_way, tôi muốn nghe về khu vực số 6,a,6
command_lead_way, tôi muốn nghe về khu vực số 7,a,7
command_lead_way, tôi muốn nghe về khu vực số 8a,8
command_lead_way, tôi muốn nghe về khu vực số 9,a,9
command_lead_way, tôi muốn nghe về khu vực số 10,a,10
command_lead_way, tôi muốn nghe về khu vực số 11,a,11
